network-snapshot-000000        time 6m 10s       fid 329.2672
network-snapshot-000024        time 5m 24s       fid 316.2193
network-snapshot-000048        time 5m 09s       fid 276.6766
network-snapshot-000072        time 5m 17s       fid 297.8114
network-snapshot-000096        time 4m 56s       fid 240.3064
network-snapshot-000121        time 5m 21s       fid 172.2366
network-snapshot-000145        time 5m 17s       fid 129.9083
network-snapshot-000169        time 5m 19s       fid 95.8610
network-snapshot-000193        time 5m 09s       fid 80.3610
network-snapshot-000217        time 5m 18s       fid 70.1629
network-snapshot-000242        time 5m 21s       fid 66.6787
network-snapshot-000266        time 5m 09s       fid 67.0488
network-snapshot-000290        time 5m 15s       fid 60.1922
network-snapshot-000314        time 5m 09s       fid 59.5865
network-snapshot-000338        time 5m 09s       fid 54.1667
network-snapshot-000363        time 5m 12s       fid 47.4300
network-snapshot-000387        time 5m 19s       fid 47.2564
network-snapshot-000411        time 4m 51s       fid 42.5393
network-snapshot-000435        time 4m 52s       fid 39.0020
network-snapshot-000459        time 4m 52s       fid 39.2279
network-snapshot-000483        time 4m 59s       fid 33.1276
network-snapshot-000508        time 4m 51s       fid 36.0836
network-snapshot-000532        time 4m 51s       fid 33.5409
network-snapshot-000556        time 4m 53s       fid 30.2501
network-snapshot-000580        time 4m 50s       fid 34.3893
network-snapshot-000604        time 5m 13s       fid 28.9478
network-snapshot-000604        time 5m 42s       fid 205.9184
network-snapshot-000628        time 4m 52s       fid 88.3115
network-snapshot-000652        time 4m 52s       fid 72.3265
network-snapshot-000676        time 4m 52s       fid 65.9108
network-snapshot-000700        time 4m 52s       fid 61.9100
network-snapshot-000725        time 4m 53s       fid 52.9306
network-snapshot-000749        time 4m 51s       fid 51.2026
network-snapshot-000773        time 4m 53s       fid 49.1943
network-snapshot-000797        time 4m 52s       fid 44.7494
network-snapshot-000821        time 4m 51s       fid 45.9486
network-snapshot-000846        time 4m 54s       fid 43.5465
network-snapshot-000870        time 4m 51s       fid 43.4237
network-snapshot-000894        time 4m 55s       fid 40.3097
network-snapshot-000918        time 4m 51s       fid 41.2386
network-snapshot-000942        time 4m 51s       fid 41.6712
network-snapshot-000967        time 4m 52s       fid 37.4311
network-snapshot-000991        time 4m 59s       fid 39.1809
network-snapshot-001015        time 4m 49s       fid 37.1312
network-snapshot-001039        time 4m 49s       fid 38.0846
network-snapshot-001063        time 4m 51s       fid 36.5498
network-snapshot-001087        time 5m 10s       fid 36.5809
